asset_id,participant_link_status,asset_name,file_name,package_path,file_format,media_kind,spatial_dimensionality,temporal_dimensionality,imaging_domain,Modality,object_role,representation_provenance_class,source_system,source_record_id,source_url,raw_values_json,provenance_json,quality_flag_json,accessLevel,retrievalRoute,transferHandoffUrl
asset_ccde8a57309beb4be3f28af5,unavailable,MSB-01723-04-02.svs,MSB-01723-04-02.svs,CMB-AML/MSB-01723-04-02.svs,SVS,whole_slide_image,2D,static,pathology,SM,whole_slide_image,submitted_original,tcia_aspera,pathology-file-object:53f7d59b016663f794562ffc,https://faspex.cancerimagingarchive.net/aspera/faspex?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjExNjIiLCJwYXNzY29kZSI6ImUzODlhMzRhOTc0MTkzNTA5MDRmMzcxNjE0ZThmZDkyNzM2ZDZkNjUiLCJwYWNrYWdlX2lkIjoiMTE2MiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==,"{""source_row_id"":""pathology-package-file:bee542ec41cced8fcb12c906"",""source_table"":""pathology_package_files""}","{""source_artifact"":""pathology_metadata"",""source_view"":""agent_pathology_file_objects""}",{},open,Aspera package,https://faspex.cancerimagingarchive.net/?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjEzMDYiLCJwYXNzY29kZSI6IjRlNTc0MWUxNzI3OTA1OTUwMmM1ZWRjOTZmN2EyNTAwNmRjNDJhOGUiLCJwYWNrYWdlX2lkIjoiMTMwNiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==
asset_b8415d6cc6f096ef6d1c8912,unavailable,MSB-01723-09-06.svs,MSB-01723-09-06.svs,CMB-AML/MSB-01723-09-06.svs,SVS,whole_slide_image,2D,static,pathology,SM,whole_slide_image,submitted_original,tcia_aspera,pathology-file-object:fd621ca5d3446b542c736fbd,https://faspex.cancerimagingarchive.net/aspera/faspex?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjExNjIiLCJwYXNzY29kZSI6ImUzODlhMzRhOTc0MTkzNTA5MDRmMzcxNjE0ZThmZDkyNzM2ZDZkNjUiLCJwYWNrYWdlX2lkIjoiMTE2MiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==,"{""source_row_id"":""pathology-package-file:60249a939650236e147482b0"",""source_table"":""pathology_package_files""}","{""source_artifact"":""pathology_metadata"",""source_view"":""agent_pathology_file_objects""}",{},open,Aspera package,https://faspex.cancerimagingarchive.net/?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjEzMDYiLCJwYXNzY29kZSI6IjRlNTc0MWUxNzI3OTA1OTUwMmM1ZWRjOTZmN2EyNTAwNmRjNDJhOGUiLCJwYWNrYWdlX2lkIjoiMTMwNiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==
asset_5729c630fe220cd09ebda266,unavailable,MSB-01723-10-02.svs,MSB-01723-10-02.svs,CMB-AML/MSB-01723-10-02.svs,SVS,whole_slide_image,2D,static,pathology,SM,whole_slide_image,submitted_original,tcia_aspera,pathology-file-object:64aaa18e71e918cb8e031ff9,https://faspex.cancerimagingarchive.net/aspera/faspex?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjExNjIiLCJwYXNzY29kZSI6ImUzODlhMzRhOTc0MTkzNTA5MDRmMzcxNjE0ZThmZDkyNzM2ZDZkNjUiLCJwYWNrYWdlX2lkIjoiMTE2MiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==,"{""source_row_id"":""pathology-package-file:d69e090eef254795ed283e3a"",""source_table"":""pathology_package_files""}","{""source_artifact"":""pathology_metadata"",""source_view"":""agent_pathology_file_objects""}",{},open,Aspera package,https://faspex.cancerimagingarchive.net/?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjEzMDYiLCJwYXNzY29kZSI6IjRlNTc0MWUxNzI3OTA1OTUwMmM1ZWRjOTZmN2EyNTAwNmRjNDJhOGUiLCJwYWNrYWdlX2lkIjoiMTMwNiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==
asset_a400e506b05b41e968d784b2,unavailable,MSB-02266-01-05.svs,MSB-02266-01-05.svs,CMB-AML/MSB-02266-01-05.svs,SVS,whole_slide_image,2D,static,pathology,SM,whole_slide_image,submitted_original,tcia_aspera,pathology-file-object:f548cd42aa4923ca534f6cfd,https://faspex.cancerimagingarchive.net/aspera/faspex?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjExNjIiLCJwYXNzY29kZSI6ImUzODlhMzRhOTc0MTkzNTA5MDRmMzcxNjE0ZThmZDkyNzM2ZDZkNjUiLCJwYWNrYWdlX2lkIjoiMTE2MiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==,"{""source_row_id"":""pathology-package-file:06304c9ac37488b5e784ed7f"",""source_table"":""pathology_package_files""}","{""source_artifact"":""pathology_metadata"",""source_view"":""agent_pathology_file_objects""}",{},open,Aspera package,https://faspex.cancerimagingarchive.net/?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjEzMDYiLCJwYXNzY29kZSI6IjRlNTc0MWUxNzI3OTA1OTUwMmM1ZWRjOTZmN2EyNTAwNmRjNDJhOGUiLCJwYWNrYWdlX2lkIjoiMTMwNiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==
asset_c860f4eab203e160306c94eb,unavailable,MSB-02266-01-06.svs,MSB-02266-01-06.svs,CMB-AML/MSB-02266-01-06.svs,SVS,whole_slide_image,2D,static,pathology,SM,whole_slide_image,submitted_original,tcia_aspera,pathology-file-object:a0f2049c93a0728ed1233844,https://faspex.cancerimagingarchive.net/aspera/faspex?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjExNjIiLCJwYXNzY29kZSI6ImUzODlhMzRhOTc0MTkzNTA5MDRmMzcxNjE0ZThmZDkyNzM2ZDZkNjUiLCJwYWNrYWdlX2lkIjoiMTE2MiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==,"{""source_row_id"":""pathology-package-file:c7575ce7ff909939c0837f14"",""source_table"":""pathology_package_files""}","{""source_artifact"":""pathology_metadata"",""source_view"":""agent_pathology_file_objects""}",{},open,Aspera package,https://faspex.cancerimagingarchive.net/?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjEzMDYiLCJwYXNzY29kZSI6IjRlNTc0MWUxNzI3OTA1OTUwMmM1ZWRjOTZmN2EyNTAwNmRjNDJhOGUiLCJwYWNrYWdlX2lkIjoiMTMwNiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==
asset_93e26c32e45fb4549a592aa1,unavailable,MSB-02659-01-04.svs,MSB-02659-01-04.svs,CMB-AML/MSB-02659-01-04.svs,SVS,whole_slide_image,2D,static,pathology,SM,whole_slide_image,submitted_original,tcia_aspera,pathology-file-object:88354db11cddbae188f11a95,https://faspex.cancerimagingarchive.net/aspera/faspex?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjExNjIiLCJwYXNzY29kZSI6ImUzODlhMzRhOTc0MTkzNTA5MDRmMzcxNjE0ZThmZDkyNzM2ZDZkNjUiLCJwYWNrYWdlX2lkIjoiMTE2MiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==,"{""source_row_id"":""pathology-package-file:abd7c70da13f2c5de76481eb"",""source_table"":""pathology_package_files""}","{""source_artifact"":""pathology_metadata"",""source_view"":""agent_pathology_file_objects""}",{},open,Aspera package,https://faspex.cancerimagingarchive.net/?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjEzMDYiLCJwYXNzY29kZSI6IjRlNTc0MWUxNzI3OTA1OTUwMmM1ZWRjOTZmN2EyNTAwNmRjNDJhOGUiLCJwYWNrYWdlX2lkIjoiMTMwNiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==
asset_b7aec57af9da398757f62cdc,unavailable,MSB-02659-01-05.svs,MSB-02659-01-05.svs,CMB-AML/MSB-02659-01-05.svs,SVS,whole_slide_image,2D,static,pathology,SM,whole_slide_image,submitted_original,tcia_aspera,pathology-file-object:3a86b7269fda3bee6d30d4a5,https://faspex.cancerimagingarchive.net/aspera/faspex?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjExNjIiLCJwYXNzY29kZSI6ImUzODlhMzRhOTc0MTkzNTA5MDRmMzcxNjE0ZThmZDkyNzM2ZDZkNjUiLCJwYWNrYWdlX2lkIjoiMTE2MiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==,"{""source_row_id"":""pathology-package-file:9ed7d4adc5651375f1acbb75"",""source_table"":""pathology_package_files""}","{""source_artifact"":""pathology_metadata"",""source_view"":""agent_pathology_file_objects""}",{},open,Aspera package,https://faspex.cancerimagingarchive.net/?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjEzMDYiLCJwYXNzY29kZSI6IjRlNTc0MWUxNzI3OTA1OTUwMmM1ZWRjOTZmN2EyNTAwNmRjNDJhOGUiLCJwYWNrYWdlX2lkIjoiMTMwNiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==
asset_b2d956e1621cd70233dd9932,unavailable,MSB-02659-03-02.svs,MSB-02659-03-02.svs,CMB-AML/MSB-02659-03-02.svs,SVS,whole_slide_image,2D,static,pathology,SM,whole_slide_image,submitted_original,tcia_aspera,pathology-file-object:237b81d91d6615aaa686c5ae,https://faspex.cancerimagingarchive.net/aspera/faspex?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjExNjIiLCJwYXNzY29kZSI6ImUzODlhMzRhOTc0MTkzNTA5MDRmMzcxNjE0ZThmZDkyNzM2ZDZkNjUiLCJwYWNrYWdlX2lkIjoiMTE2MiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==,"{""source_row_id"":""pathology-package-file:b6c01921de857eced5d0946c"",""source_table"":""pathology_package_files""}","{""source_artifact"":""pathology_metadata"",""source_view"":""agent_pathology_file_objects""}",{},open,Aspera package,https://faspex.cancerimagingarchive.net/?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjEzMDYiLCJwYXNzY29kZSI6IjRlNTc0MWUxNzI3OTA1OTUwMmM1ZWRjOTZmN2EyNTAwNmRjNDJhOGUiLCJwYWNrYWdlX2lkIjoiMTMwNiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==
asset_44cb59342b84698155b05f29,unavailable,MSB-02960-01-44.svs,MSB-02960-01-44.svs,CMB-AML/MSB-02960-01-44.svs,SVS,whole_slide_image,2D,static,pathology,SM,whole_slide_image,submitted_original,tcia_aspera,pathology-file-object:1823a4303c5666d81358f803,https://faspex.cancerimagingarchive.net/aspera/faspex?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjExNjIiLCJwYXNzY29kZSI6ImUzODlhMzRhOTc0MTkzNTA5MDRmMzcxNjE0ZThmZDkyNzM2ZDZkNjUiLCJwYWNrYWdlX2lkIjoiMTE2MiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==,"{""source_row_id"":""pathology-package-file:33f3961352b0a1bc75e6e748"",""source_table"":""pathology_package_files""}","{""source_artifact"":""pathology_metadata"",""source_view"":""agent_pathology_file_objects""}",{},open,Aspera package,https://faspex.cancerimagingarchive.net/?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjEzMDYiLCJwYXNzY29kZSI6IjRlNTc0MWUxNzI3OTA1OTUwMmM1ZWRjOTZmN2EyNTAwNmRjNDJhOGUiLCJwYWNrYWdlX2lkIjoiMTMwNiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==
asset_078b262fc492d132b00073db,unavailable,MSB-02960-04-02.svs,MSB-02960-04-02.svs,CMB-AML/MSB-02960-04-02.svs,SVS,whole_slide_image,2D,static,pathology,SM,whole_slide_image,submitted_original,tcia_aspera,pathology-file-object:6102825f469d2dc3e5bc5591,https://faspex.cancerimagingarchive.net/aspera/faspex?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjExNjIiLCJwYXNzY29kZSI6ImUzODlhMzRhOTc0MTkzNTA5MDRmMzcxNjE0ZThmZDkyNzM2ZDZkNjUiLCJwYWNrYWdlX2lkIjoiMTE2MiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==,"{""source_row_id"":""pathology-package-file:3030de6c8c2b1ca23155eb85"",""source_table"":""pathology_package_files""}","{""source_artifact"":""pathology_metadata"",""source_view"":""agent_pathology_file_objects""}",{},open,Aspera package,https://faspex.cancerimagingarchive.net/?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjEzMDYiLCJwYXNzY29kZSI6IjRlNTc0MWUxNzI3OTA1OTUwMmM1ZWRjOTZmN2EyNTAwNmRjNDJhOGUiLCJwYWNrYWdlX2lkIjoiMTMwNiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==
asset_a90984b20c6a67adf4a978b5,unavailable,MSB-02960-08-02.svs,MSB-02960-08-02.svs,CMB-AML/MSB-02960-08-02.svs,SVS,whole_slide_image,2D,static,pathology,SM,whole_slide_image,submitted_original,tcia_aspera,pathology-file-object:a1086bacdbad559ede783a54,https://faspex.cancerimagingarchive.net/aspera/faspex?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjExNjIiLCJwYXNzY29kZSI6ImUzODlhMzRhOTc0MTkzNTA5MDRmMzcxNjE0ZThmZDkyNzM2ZDZkNjUiLCJwYWNrYWdlX2lkIjoiMTE2MiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==,"{""source_row_id"":""pathology-package-file:bab499746261d83ac15c3aed"",""source_table"":""pathology_package_files""}","{""source_artifact"":""pathology_metadata"",""source_view"":""agent_pathology_file_objects""}",{},open,Aspera package,https://faspex.cancerimagingarchive.net/?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjEzMDYiLCJwYXNzY29kZSI6IjRlNTc0MWUxNzI3OTA1OTUwMmM1ZWRjOTZmN2EyNTAwNmRjNDJhOGUiLCJwYWNrYWdlX2lkIjoiMTMwNiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==
asset_253d714237397dda34b22d36,unavailable,MSB-02960-13-02.svs,MSB-02960-13-02.svs,CMB-AML/MSB-02960-13-02.svs,SVS,whole_slide_image,2D,static,pathology,SM,whole_slide_image,submitted_original,tcia_aspera,pathology-file-object:439b07ca33f63b1d2fd60d83,https://faspex.cancerimagingarchive.net/aspera/faspex?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjExNjIiLCJwYXNzY29kZSI6ImUzODlhMzRhOTc0MTkzNTA5MDRmMzcxNjE0ZThmZDkyNzM2ZDZkNjUiLCJwYWNrYWdlX2lkIjoiMTE2MiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==,"{""source_row_id"":""pathology-package-file:fe0493d3a4c28b63a6adc776"",""source_table"":""pathology_package_files""}","{""source_artifact"":""pathology_metadata"",""source_view"":""agent_pathology_file_objects""}",{},open,Aspera package,https://faspex.cancerimagingarchive.net/?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjEzMDYiLCJwYXNzY29kZSI6IjRlNTc0MWUxNzI3OTA1OTUwMmM1ZWRjOTZmN2EyNTAwNmRjNDJhOGUiLCJwYWNrYWdlX2lkIjoiMTMwNiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==
asset_5ef2ec5f54f97443cb517a08,unavailable,MSB-03755-01-02.svs,MSB-03755-01-02.svs,CMB-AML/MSB-03755-01-02.svs,SVS,whole_slide_image,2D,static,pathology,SM,whole_slide_image,submitted_original,tcia_aspera,pathology-file-object:505d09600013ff04ede05ae1,https://faspex.cancerimagingarchive.net/aspera/faspex?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjExNjIiLCJwYXNzY29kZSI6ImUzODlhMzRhOTc0MTkzNTA5MDRmMzcxNjE0ZThmZDkyNzM2ZDZkNjUiLCJwYWNrYWdlX2lkIjoiMTE2MiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==,"{""source_row_id"":""pathology-package-file:86f79216ea16dfe48f8838a9"",""source_table"":""pathology_package_files""}","{""source_artifact"":""pathology_metadata"",""source_view"":""agent_pathology_file_objects""}",{},open,Aspera package,https://faspex.cancerimagingarchive.net/?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjEzMDYiLCJwYXNzY29kZSI6IjRlNTc0MWUxNzI3OTA1OTUwMmM1ZWRjOTZmN2EyNTAwNmRjNDJhOGUiLCJwYWNrYWdlX2lkIjoiMTMwNiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==
asset_9ea62aa0c09bddf0dd4697da,unavailable,MSB-04591-06-02.svs,MSB-04591-06-02.svs,CMB-AML/MSB-04591-06-02.svs,SVS,whole_slide_image,2D,static,pathology,SM,whole_slide_image,submitted_original,tcia_aspera,pathology-file-object:245e47017dd2c35f36d4c8b7,https://faspex.cancerimagingarchive.net/aspera/faspex?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjExNjIiLCJwYXNzY29kZSI6ImUzODlhMzRhOTc0MTkzNTA5MDRmMzcxNjE0ZThmZDkyNzM2ZDZkNjUiLCJwYWNrYWdlX2lkIjoiMTE2MiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==,"{""source_row_id"":""pathology-package-file:82ac35f6f781fa9fdc010ea2"",""source_table"":""pathology_package_files""}","{""source_artifact"":""pathology_metadata"",""source_view"":""agent_pathology_file_objects""}",{},open,Aspera package,https://faspex.cancerimagingarchive.net/?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjEzMDYiLCJwYXNzY29kZSI6IjRlNTc0MWUxNzI3OTA1OTUwMmM1ZWRjOTZmN2EyNTAwNmRjNDJhOGUiLCJwYWNrYWdlX2lkIjoiMTMwNiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==
asset_7fa1d0adcd16d91e2ad0289a,unavailable,MSB-04591-10-02.svs,MSB-04591-10-02.svs,CMB-AML/MSB-04591-10-02.svs,SVS,whole_slide_image,2D,static,pathology,SM,whole_slide_image,submitted_original,tcia_aspera,pathology-file-object:5c69829d9f306184efcd2d8c,https://faspex.cancerimagingarchive.net/aspera/faspex?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjExNjIiLCJwYXNzY29kZSI6ImUzODlhMzRhOTc0MTkzNTA5MDRmMzcxNjE0ZThmZDkyNzM2ZDZkNjUiLCJwYWNrYWdlX2lkIjoiMTE2MiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==,"{""source_row_id"":""pathology-package-file:45930e0417f477038b986377"",""source_table"":""pathology_package_files""}","{""source_artifact"":""pathology_metadata"",""source_view"":""agent_pathology_file_objects""}",{},open,Aspera package,https://faspex.cancerimagingarchive.net/?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjEzMDYiLCJwYXNzY29kZSI6IjRlNTc0MWUxNzI3OTA1OTUwMmM1ZWRjOTZmN2EyNTAwNmRjNDJhOGUiLCJwYWNrYWdlX2lkIjoiMTMwNiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==
asset_5844665ab6ca3268f4c07766,unavailable,MSB-04591-11-04.svs,MSB-04591-11-04.svs,CMB-AML/MSB-04591-11-04.svs,SVS,whole_slide_image,2D,static,pathology,SM,whole_slide_image,submitted_original,tcia_aspera,pathology-file-object:a14adccc13ca784f52bb8af7,https://faspex.cancerimagingarchive.net/aspera/faspex?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjExNjIiLCJwYXNzY29kZSI6ImUzODlhMzRhOTc0MTkzNTA5MDRmMzcxNjE0ZThmZDkyNzM2ZDZkNjUiLCJwYWNrYWdlX2lkIjoiMTE2MiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==,"{""source_row_id"":""pathology-package-file:87f9584c2b7f62e5e319d16d"",""source_table"":""pathology_package_files""}","{""source_artifact"":""pathology_metadata"",""source_view"":""agent_pathology_file_objects""}",{},open,Aspera package,https://faspex.cancerimagingarchive.net/?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjEzMDYiLCJwYXNzY29kZSI6IjRlNTc0MWUxNzI3OTA1OTUwMmM1ZWRjOTZmN2EyNTAwNmRjNDJhOGUiLCJwYWNrYWdlX2lkIjoiMTMwNiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==
asset_f7cde37f7a842bef497a22de,unavailable,MSB-04591-11-05.svs,MSB-04591-11-05.svs,CMB-AML/MSB-04591-11-05.svs,SVS,whole_slide_image,2D,static,pathology,SM,whole_slide_image,submitted_original,tcia_aspera,pathology-file-object:b5d5059fbd8c2f858c2d4aa9,https://faspex.cancerimagingarchive.net/aspera/faspex?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjExNjIiLCJwYXNzY29kZSI6ImUzODlhMzRhOTc0MTkzNTA5MDRmMzcxNjE0ZThmZDkyNzM2ZDZkNjUiLCJwYWNrYWdlX2lkIjoiMTE2MiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==,"{""source_row_id"":""pathology-package-file:c359e22a2178c7adbec1fa94"",""source_table"":""pathology_package_files""}","{""source_artifact"":""pathology_metadata"",""source_view"":""agent_pathology_file_objects""}",{},open,Aspera package,https://faspex.cancerimagingarchive.net/?context=eyJyZXNvdXJjZSI6InBhY2thZ2VzIiwidHlwZSI6ImV4dGVybmFsX2Rvd25sb2FkX3BhY2thZ2UiLCJpZCI6IjEzMDYiLCJwYXNzY29kZSI6IjRlNTc0MWUxNzI3OTA1OTUwMmM1ZWRjOTZmN2EyNTAwNmRjNDJhOGUiLCJwYWNrYWdlX2lkIjoiMTMwNiIsImVtYWlsIjoiaGVscEBjYW5jZXJpbWFnaW5nYXJjaGl2ZS5uZXQifQ==
